rank,name,mean
species,Geobacillus thermodenitrificans,10
species,Methanocorpusculum labreanum,3
species,Bacillus velezensis,8.72
species,Pyrobaculum calidifontis,1
species,Methanoculleus marisnigri,1
species,Shewanella baltica,10
species,Acetivibrio thermocellus,4
species,Actinobacillus pleuropneumoniae,6
species,Staphylothermus marinus,1
species,Cereibacter sphaeroides,3.25
species,Shewanella loihica,8
species,Desulforamulus reducens,8
species,Rhodospirillum centenum,4
species,Rhizobium rhizogenes,3.2
species,Allorhizobium ampelinum,4
species,Enterobacter sp. 638,7
species,Polynucleobacter asymbioticus,1
species,Pyrobaculum arsenaticum,1
species,Salinispora tropica,3
species,Methanobrevibacter smithii,2
species,Caldicellulosiruptor saccharolyticus,3
species,Metallosphaera sedula,1
species,Rickettsia massiliae,1
species,Flavobacterium johnsoniae,5.67
species,Roseiflexus sp. RS-1,2
species,Acidiphilium cryptum,2
species,Geotalea uraniireducens,2
species,Thermotoga petrophila,1
species,Brucella ovis,3
species,Thermosipho melanesiensis,4
species,Yersinia pseudotuberculosis,7
species,Clostridium beijerinckii,15.18
species,Alkaliphilus metalliredigens,10
species,Streptococcus gordonii,3.92
species,Clostridium botulinum,8.75
species,Sinorhizobium medicae,3
species,Methanococcus vannielii,4
species,Methanococcus aeolicus,2
species,Pseudomonas paraeruginosa,4
species,Actinobacillus succinogenes,6
species,Phenylobacterium zucineum,1
species,Kineococcus radiotolerans,4
species,Brucella anthropi,4
species,Bacillus cytotoxicus,12.82
species,Rickettsia rickettsii,1
species,Campylobacter curvus,3
species,Anaeromyxobacter sp. Fw109-5,2
species,Fervidobacterium nodosum,2
species,Parvibaculum lavamentivorans,1
species,Campylobacter hominis,3
species,Methanoregula boonei,1
species,Cronobacter sakazakii,7.04
species,Vibrio campbellii,11.83
species,Campylobacter concisus,3
species,Roseiflexus castenholzii,2
species,Crocosphaera subtropica,2
species,Pseudothermotoga lettingae,1
species,Bacillus pumilus,8.03
species,Ignicoccus hospitalis,1
species,Lysinibacillus sphaericus,11.33
species,Parafrankia sp. EAN1pec,3
species,Shewanella sediminis,12
species,Citrobacter koseri,6.93
species,Acaryochloris marina,2
species,Dinoroseobacter shibae,2
species,Streptococcus suis,3.99
species,Rickettsia akari,1
species,Shewanella pealeana,11
species,Caldivirga maquilingensis,1
species,Alkaliphilus oremlandii,8
species,Mycobacterium marinum,2
species,Thermococcus onnurineus,1
species,Desulfosudis oleivorans,1
species,Candidatus Desulforudis audaxviator,2
species,Acinetobacter baumannii,5.97
species,Nitrosopumilus maritimus,1
species,Brucella canis,3
species,Petrotoga mobilis,2
species,Delftia acidovorans,5
species,Lachnoclostridium phytofermentans,8
species,Acholeplasma laidlawii,2
species,Methylorubrum extorquens,5
species,Chloroflexus aurantiacus,3
species,Renibacterium salmoninarum,2
species,Thermotoga neapolitana,1
species,Anoxybacillus flavithermus,8.5
species,Thermoanaerobacter sp. X514,4
species,Thermoanaerobacter pseudethanolicus,4
species,Heliomicrobium modesticaldum,10
species,Shewanella halifaxensis,10
species,Campylobacter lari,3
species,Cellvibrio japonicus,3
species,Methylobacterium sp. 4-46,6
species,Histophilus somni,5
species,Picosynechococcus sp. PCC 7002,2
species,Burkholderia orbicola,6
species,Shewanella woodyi,10
species,Klebsiella variicola,8
species,Candidatus Korarchaeum cryptofilum,1
species,Thermotoga sp. RQ2,1
species,Candidatus Methylacidiphilum infernorum,1
species,Borrelia duttonii,1
species,Borrelia recurrentis,1
species,Methylobacterium radiotolerans,6
species,Leptothrix cholodnii,2
species,Pyrobaculum neutrophilum,1
species,Beijerinckia indica,3
species,Exiguobacterium artemiae,9
species,Burkholderia ambifaria,5.93
species,Methylorubrum populi,5
species,Opitutus terrae,1
species,Natranaerobius thermophilus,4
species,Nostoc punctiforme,4
species,Paraburkholderia phymatum,6
species,Metamycoplasma arthritidis,1
