#OTU_num	Y.A.0H	Y.B.0H	Y.C.0H	Y.D.0H	Y.E.0H	Y.CN.A.24H	Y.CN.B.24H	Y.CN.C.24H	Y.CN.D.24H	Y.CN.E.24H	OFP.A.24H	OFP.B.24H	OFP.C.24H	OFP.D.24H	OFP.E.24H	IQ.A.24H	IQ.B.24H	IQ.C.24H	IQ.D.24H	IQ.E.24H	PM.A.24H	PM.B.24H	PM.C.24H	PM.D.24H	PM.E.24H	EM.A.24H	EM.B.24H	EM.C.24H	EM.D.24H	EM.E.24H	Taxonomy
ASV46	55.0	57.0	941.0	36.0	1272.0	105.0	77.0	269.0	14.0	79.0	36.0	83.0	602.0	157.0	66.0	37.0	54.0	801.0	217.0	65.0	27.0	39.0	378.0	46.0	35.0	131.0	52.0	487.0	104.0	40.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus
ASV47	698.0	519.0	71.0	187.0	120.0	92.0	1562.0	393.0	407.0	1389.0	21.0	89.0	36.0	34.0	21.0	22.0	12.0	39.0	21.0	13.0	44.0	24.0	24.0	9.0	6.0	174.0	0.0	38.0	40.0	14.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__
ASV48	2322.0	0.0	0.0	0.0	773.0	274.0	0.0	0.0	0.0	83.0	280.0	0.0	0.0	0.0	0.0	212.0	0.0	0.0	0.0	40.0	542.0	0.0	0.0	0.0	189.0	597.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
ASV49	986.0	345.0	98.0	1557.0	110.0	171.0	314.0	48.0	353.0	216.0	30.0	37.0	0.0	156.0	8.0	37.0	15.0	0.0	183.0	7.0	50.0	33.0	9.0	68.0	0.0	127.0	25.0	10.0	104.0	5.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__
ASV50	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	1128.0	0.0	0.0	0.0	0.0	616.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	1701.0	0.0	0.0	0.0	0.0	1215.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella
ASV51	44.0	475.0	0.0	0.0	2283.0	7.0	546.0	0.0	0.0	443.0	11.0	231.0	0.0	0.0	108.0	6.0	146.0	0.0	0.0	573.0	0.0	37.0	0.0	0.0	67.0	17.0	31.0	0.0	0.0	47.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__
ASV52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	5.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	12.0	3930.0	362.0	0.0	0.0	60.0	428.0	185.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella
ASV53	214.0	33.0	0.0	0.0	55.0	1675.0	1289.0	0.0	0.0	513.0	602.0	95.0	0.0	0.0	23.0	391.0	35.0	0.0	0.0	38.0	9.0	7.0	0.0	0.0	8.0	14.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__
ASV54	410.0	123.0	145.0	115.0	264.0	26.0	12.0	28.0	109.0	46.0	28.0	26.0	119.0	1154.0	66.0	19.0	7.0	139.0	1177.0	77.0	24.0	7.0	10.0	437.0	17.0	76.0	0.0	0.0	269.0	12.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia_obeum
ASV55	0.0	0.0	0.0	0.0	35.0	0.0	119.0	0.0	0.0	114.0	0.0	442.0	0.0	0.0	142.0	0.0	184.0	0.0	0.0	131.0	329.0	2689.0	0.0	0.0	361.0	0.0	124.0	0.0	0.0	92.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Mitsuokella
ASV56	0.0	37.0	0.0	0.0	0.0	0.0	485.0	0.0	0.0	35.0	0.0	543.0	0.0	0.0	0.0	0.0	2593.0	0.0	0.0	0.0	66.0	403.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera
ASV57	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	981.0	0.0	0.0	0.0	0.0	3013.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus
ASV58	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	1542.0	0.0	0.0	0.0	0.0	1021.0	0.0	0.0	0.0	0.0	919.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	0.0	176.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus
ASV59	318.0	129.0	218.0	96.0	312.0	60.0	606.0	86.0	144.0	721.0	38.0	113.0	47.0	126.0	142.0	14.0	23.0	42.0	139.0	108.0	32.0	32.0	46.0	79.0	24.0	104.0	20.0	39.0	82.0	43.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus
ASV60	171.0	297.0	1247.0	537.0	170.0	0.0	24.0	20.0	29.0	37.0	12.0	63.0	223.0	158.0	44.0	15.0	16.0	211.0	130.0	17.0	13.0	10.0	87.0	87.0	11.0	18.0	6.0	80.0	119.0	21.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia_faecis
ASV61	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	478.0	0.0	0.0	0.0	0.0	203.0	0.0	0.0	0.0	275.0	2548.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Mitsuokella
ASV62	0.0	0.0	0.0	0.0	2702.0	0.0	0.0	0.0	0.0	462.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	49.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__
ASV63	242.0	288.0	31.0	1379.0	190.0	15.0	18.0	0.0	57.0	8.0	12.0	60.0	0.0	287.0	8.0	13.0	64.0	0.0	247.0	15.0	10.0	23.0	0.0	243.0	4.0	16.0	34.0	2.0	349.0	8.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group;s__
ASV64	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	2014.0	0.0	0.0	0.0	0.0	930.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus
ASV65	0.0	0.0	278.0	102.0	0.0	427.0	575.0	400.0	364.0	0.0	0.0	17.0	311.0	220.0	0.0	0.0	0.0	320.0	153.0	0.0	9.0	0.0	86.0	36.0	0.0	0.0	0.0	101.0	38.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV66	841.0	452.0	364.0	0.0	566.0	68.0	40.0	97.0	0.0	31.0	52.0	23.0	19.0	0.0	16.0	49.0	18.0	88.0	0.0	8.0	19.0	18.0	25.0	0.0	8.0	156.0	20.0	47.0	0.0	13.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum
