#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9109877798453532e-05,0.0,0.0,0.0,0.0,9.315473696220527e-05,0.0,0.0,0.0,0.0,0.00010943685723051077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53687520144513e-05
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unclassified,0.0,0.0013968788142093617,0.0,0.0,0.001621802217543677,0.0,0.0002257852825792339,0.0,0.0,0.00045120310587602974,0.0,0.0009853873011976962,0.0,0.0,0.0017513090548894592,0.0,0.0031770130382451057,0.0,0.0,0.0013862001915864698,0.0,0.00013868001636928697,0.0,0.0,0.001282706145473701,0.0,0.00030596224165508235,0.0,0.0,0.0011848531924841183
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae,0.0005528566843385867,0.0,0.0,0.0,0.003038313015145116,0.0,0.0,0.0,0.0,2.9109877798453532e-05,0.00016801098149275468,0.0,0.0,0.0,0.0009688092644069349,4.2656970493315376e-05,0.0,0.0,0.0,0.0009484527626644266,7.169716331581709e-05,0.0,0.0,0.0,0.0011809040704361055,0.0001747791885242189,0.0,0.0,0.0,0.0006720062882745746
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0.0004767325716488889,0.0005042927886962118,0.03384122022945392,0.0003478314089176656,0.0004192682461128006,0.00014563049172308188,0.0005629116563011299,0.004270835851820826,0.00032015235449241945,0.000369919370177271,0.0,0.0,0.0009445133728622446,0.00039116193797612017,0.0,0.0,0.0,0.0014612622370117215,0.0,0.0,0.0,0.0,0.001365846604064143,0.0,0.0,0.0,0.0,0.0006213198808999728,0.00011822023750022636,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,0.011656947749748051,0.0003602091347830084,0.0,0.0,0.0,0.0003276686063769342,0.00020494356418730461,0.0,0.0,0.0,0.0005242265720615277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002603158545005051,0.0,0.0,0.0,0.0,0.0001830527595786198,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,0.0011545227019500368,0.0006541386393151741,0.0401394473277134,0.004055763250888298,0.0,0.015137954050670527,0.01798167583809769,0.018619799817979652,0.00878881592820623,0.0036220869401258956,0.0030649008458488963,0.0013530204923039488,0.008681470961816089,0.00406669408260351,3.058715537124236e-05,0.003320250927296493,0.0005856012371658396,0.00824262692409815,0.002664366335290504,0.0,0.0002347861411273403,0.0,0.003332350589605357,0.00036674789474024826,0.0,0.00021829027382067067,0.0,0.002290653109637806,0.0005515828389970341,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__unclassified;g__unclassified,0.0002995274965654418,0.0008668834714777856,0.0,0.0,0.0002402418600315772,4.1723336471626765e-05,0.000430588498494539,0.0,0.0,9.462715097017953e-05,0.0,5.2655134853992146e-05,0.0,0.0,0.00021802827692311188,8.319871930927626e-05,0.0004151750914494483,0.0,0.0,0.0001897307497256238,9.322606359522222e-05,6.762083442799943e-05,0.0,0.0,0.00021179318751623135,0.0,0.00014657086362598117,0.0,0.0,0.00011497280269160476
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__unclassified;f__unclassified;g__unclassified,0.0,0.0,0.0,8.451978160616175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__unclassified;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742472438703053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__unclassified;g__unclassified,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__unidentified_Gastranaerophilales;g__unidentified_Gastranaerophilales,0.0,0.000599388000278926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030141711639229945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015070855819614972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
