#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,0.0003102805300418893,0.00027763422322705665,0.0036578724794737493,0.01271403844478965,0.0007703152527372329,7.3522189996119e-05,4.4590231538660415e-05,0.0004601667684501827,0.0015899871343720304,0.0002586166147936444,4.1475514259717674e-05,0.2166898698867853,0.0002671996445380199,0.0038988885344366417,0.000457283688399647,0.0,0.24936067782604754,0.0002554155389257074,0.0029000723407381465,0.0003602105761004259,6.768212217013133e-05,0.0021910282084118306,0.0010025777611660748,0.0013322159090749458,6.031453483398952e-05,0.00010239116376056234,0.00015901142706584327,0.00026012637955716175,0.0015175719190405627,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__unclassified,0.0,0.0,4.2642666619775605e-05,0.00010939858828862064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__unclassified,0.001083731594190944,0.003183024511285146,0.01020674057846411,0.0,0.0005858185225279799,0.0001856074894509867,0.0005340141672505802,0.0009419054746595808,0.0,0.00013470453255754966,0.0,2.0821148095859638e-05,8.537528749276304e-05,0.0,0.0,6.579767997661717e-05,0.0,0.00023748954949908213,0.0,0.00011253637606274744,0.0,8.021687221360716e-05,0.0002558096822237666,0.0,0.0,8.295201305523512e-05,2.4839039914206892e-05,0.00018854244751866588,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae,0.00010872848125325537,0.0,0.0,0.00015826329105753787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__unclassified;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013879258712992618,0.019385744118288396,0.0,0.0,0.0,0.07333994854245973,0.0064457308577366874,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,0.03919661749179856,0.08518801953964236,0.06955075782574227,0.01849419601215228,0.0345924254259468,0.0029533863721441004,0.012078007382771818,0.006105778304549856,0.002931481993743632,0.006492084946611106,0.0007930118326458021,0.0023892267439998937,0.0013642970941343533,0.0018161089977462722,0.0021544827564618837,0.0010570397288243549,0.002373659791589358,0.0021220166226841985,0.0013567402261308588,0.001205264587632025,0.0010829139547221013,0.001063675725552431,0.001669925605556748,0.0010310082359183818,0.0006246575324306849,0.0017768321196431362,0.001254123125268306,0.002157253499522266,0.0021208710607540614,0.0010433781844263132
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__unclassified,0.008531804270590373,0.027352454797417502,0.00038793264816459335,0.015231354327341991,0.0027122041566722795,0.00045291779722489585,0.002702509391867041,0.0,0.0013506739648650441,0.0005916687123819647,0.00030828809283479144,0.000990747932121168,0.0,0.0019406587376236085,0.0003155672429150303,0.0003130899174006975,0.0007210935798858839,4.172543663926458e-05,0.0015664464853393525,4.119154434832622e-05,0.00017811084781613507,0.0004893613017815748,0.0,0.002611616696669135,9.196283142152151e-05,0.0008046146816565809,0.00030912125749690014,0.0,0.002397212280028514,0.00017972064420740324
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unclassified,0.001378614714455152,0.003190522250288542,0.0,0.0,0.0002549935531914109,0.0,0.0,0.0,0.0,0.0,0.0,0.00016766503466665922,0.0,0.0,4.207563238867071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002740423289976819,0.0,0.0,4.5981415710760756e-05,0.00019735831814218018,9.091801691085298e-05,3.600623399669967e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unidentified_Clostridia_vadinBB60_group,0.0,0.00014339425843993447,0.0,0.0,0.0,0.0,3.399382882851624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0.0010233268823835798,8.81452941586656e-05,0.0,3.1918646935974025e-05,0.0004331890480098792,0.03230461232396534,0.004346410961274287,2.6769945069272298e-05,0.0,7.274044758107681e-05,0.48384217536237767,0.0006970920382493807,0.0,0.0,3.1036966479642986e-05,0.5289699205432175,0.00041666483736582573,0.0,0.0,0.0,0.0036627971997953424,1.925204933126572e-05,0.0,0.0,3.39180560595847e-05,0.001022798320971049,0.0,0.0,0.0,4.9100149855355915e-05
